                    - SPARES  LIST -


                    - PART SUMMARY -

BUSSWITCHQUAD_SMD-100-10007934B	100-10007934	2
BUSSWITCH_SMD-100-10007932,74CB	100-10007932	13
BUT_4PIN_SMD-180-10007412,PTS6B	180-10007412	2
BUT_4PIN_SMD-180-10007413,PTS6B	180-10007413	1
CAPPOL_SMD-151-10007447,150U-1A	151-10007447	2
CAP_SMD-151-10004022,100N-100NA	151-10004022	65
CAP_SMD-151-10004046,1U-151-10A	151-10004046	8
CAP_SMD-151-10004047,2.2U-151-A	151-10004047	2
CAP_SMD-151-10004050,4.7U-151-A	151-10004050	2
CAP_SMD-151-10005153,10P-10P,1A	151-10005153	3
CAP_SMD-151-10005240,47P-151-1A	151-10005240	1
CAP_SMD-151-10005753,10U-10U,1A	151-10005753	8
CAP_SMD-151-10005842,220N-151-A	151-10005842	1
CAP_SMD-151-10007051,27P-151-1A	151-10007051	2
CAP_SMD-151-10007506,15P-151-1A	151-10007506	2
CAP_SMD-151-10007732,47U-151-1A	151-10007732	1
CAP_SMD-151-10007823,22U-151-1A	151-10007823	1
CAP_SMD-151-10007828,220N-151-A	151-10007828	6
CRYSTAL_ABM8_XX_SMD-170-100075B	170-10007572	1
CRYSTAL_FA_XXX_SMD-170-1000725B	170-10007251	1
CRYSTAL_SMD-170-10004990,ABS06B	170-10004990	1
DIO_AP2151_SMD-124-10007403,APB	124-10007403	2
DIO_SMD-141-10004387,1N4148W-GA	141-10004387	1
DIO_TVS_SMD-141-10008281,SC110B	141-10008281	2
DOUBLE_ROW_10_SMD-160-10007217B	160-10007217	1
DOUBLE_ROW_10_THT-160-10004280B	160-10004280	6
DOUBLE_ROW_10_THT-160-10004300B	160-10004300	1
DOUBLE_ROW_20_THT-160-10004289B	160-10004289	1
DOUBLE_ROW_4_THT-160-10007398,B	160-10007398	1
DOUBLE_ROW_5_SMD-160-10007395,B	160-10007395	1
DOUBLE_ROW_6_PMOD_IF_THT-160-1B	160-10005307	2
ECS_ECS_1612MV_SMD-171-1000784B	171-10007843	1
IND_SMD-152-10006055,2.2U-152-A	152-10006055	1
INT_ISL8010X_SMD-122-10007411,B	122-10007411	1
ISSI512MBSDRAM_X16_SMD-102-100B	102-10007955	1
