TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
DATE: 07/14/2023,,,,,,,,,,,,,,,,,,,
DESIGN: ek_ra8d1,,,,,,,,,,,,,,,,,,,
TEMPLATE: J:\ACLib\ree_site\cdssetup\bom\ree_all_v1.0.bom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Qty,CATEGORY,PART_NUMBER,VALUE,DESCRIPTION,JEDEC_TYPE,Ref Des,REMARKS,MECH_KIT1,TOLERANCE,OPERATING_VOLTAGE,POWER_RATING,MANUFACTURER_PRIMARY,MANUFACTURER_PRIMARY_ORDER_CODE,DISTRIBUTOR_PRIMARY,DISTRIBUTOR_PRIMARY_ORDER_CODE,MANUFACTURER_SECONDARY,MANUFACTURER_SECONDARY_ORDER_CODE,DISTRIBUTOR_SECONDARY,DISTRIBUTOR_SECONDARY_ORDER_CODE
8,"PASSIVE,Capacitor",151-10005753,10u,CapCeramicX5R10uF10%16V0805,EIA_CC0805H1P25,"C1,C16,C20,C44,C54,C64,C65,C83", , ,0.1,16V,?,MURATA,GRM21BR61C106KE15,RSComponents,723-6039P, , , , 
2,"PASSIVE, Capacitor",151-10004047,2.2u,"capacitor,X7R,0603,",EIA_CC0603H0P8,"C10,C28", , ,10%,10V,?,YAGEO,CC0603KRX7R6BB225,Farnell, , , , , 
6,"PASSIVE,Capacitor",151-10007828,220n,X5R,C_EIA0201H0P3,"C3,C18,C27,C29,C100,C101", , ,15%,16V,?,Murata,GRM033R61C224KE14,MouserElectronics,81-GRM033R61C224KE4D, , , , 
65,"PASSIVE, Capacitor",151-10004022,100n,"capacitor,X7R,0402,",CAP_CC0402_YAG-L,"C2,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C15,C17,C19,C25,C26,C30,C34,C36,C37,C39,C40,C41,C42,C43,C46,C49,C51,C52,C56,C57,C58,C61,C63,C67,C71,C72,C74,C75,C76,C77,C78,C79,C80,C81,C82,C84,C85,C86,C88,C89,C90,C91,C92,C93,C94,C96,C98,C104,C105,C112,C113,C116,C117,C118", , ,10%,25V,?,YAGEO,CC0402KRX7R8BB104,Farnell, , , , , 
8,"PASSIVE, Capacitor",151-10004046,1u,"capacitor,X7R,0603,",EIA_CC0603H0P8,"C38,C45,C59,C60,C66,C68,C110,C114", , ,10%,16V,?,YAGEO,CC0603KRX7R7BB105,Farnell, , , , , 
1,"PASSIVE, Capacitor",151-10005842,220n,"capacitor, ceramic,",EIA0402H0P55,C111, , ,10%,16V,?,MURATA,GRM155R71C224KA12D, , , , , , 
3,"PASSIVE, Capacitor",151-10005153,10p,"capacitor,NPO,0402,",EIA0402H0P55,"C115,C119,C120", , ,5%,50V,?,YAGEO,CC0402JRNPO9BN100,Farnell, , , , , 
2,"PASSIVE, Capacitor",151-10007506,15p,"capacitor,NPO,0402,",EIA0402H0P55,"C21,C24", , ,5%,50V,?,YAGEO,CC0402JRNPO9BN150,Digi-KeyCorporation,311-1017-1-ND, , , , 
2,"PASSIVE, Capacitor",151-10007051,27p,"capacitor,NPO,0402,",EIA0402H0P55,"C22,C23", , ,5%,50V,?,YAGEO,CC0402JRNPO9BN270,Farnell, , , , , 
2,"PASSIVE,Capacitor",151-10007447,150u,"capacitor,tantal",EIA2917_3P1,"C47,C55", , ,20,16V,?,AVX,TPSD157M016R0150,Digi-KeyCorporation,478-4104-1-ND, , , , 
